X1;X2;X3;X4;XAntSigatoka;Sigatoka
25.72;93.62;13.80;1.19;5705.02;5913.77
24.90;88.26;3.00;2.12;5913.77;5688.01
25.27;92.91;28.80;1.69;5688.01;5905.11
24.54;92.97;56.00;1.70;5905.11;5699.27
25.79;91.66;5.00;1.58;5699.27;5661.89
26.18;89.35;12.80;2.21;5661.89;5345.20
26.34;91.03;14.00;1.51;5345.20;5632.94
26.02;92.68;85.00;1.50;5632.94;6334.62
26.46;92.22;8.20;1.60;6334.62;6220.62
26.31;93.12;22.40;1.25;6220.62;6687.98
24.78;95.22;152.40;1.26;6687.98;5878.95
26.50;89.89;9.20;1.84;5878.95;6441.38
26.19;89.36;10.60;1.73;6441.38;5786.64
24.64;95.77;74.20;1.17;5786.64;6160.10
25.19;94.99;72.60;1.17;6160.10;6033.15
25.19;95.90;89.60;1.03;6033.15;5674.68
25.07;97.22;189.20;1.01;5674.68;5633.60
24.86;94.63;94.00;1.41;5633.60;6274.11
25.98;90.72;12.60;1.48;6274.11;6156.71
25.77;92.16;7.00;1.62;6156.71;6096.78
25.98;90.35;13.20;1.41;6096.78;6202.81
25.98;92.07;33.40;1.31;6202.81;5453.53
25.79;92.41;56.20;1.42;5453.53;6144.97
25.29;93.74;47.00;1.22;6144.97;5392.10
25.82;91.24;6.00;1.52;5392.10;5288.67
25.39;92.96;48.00;1.24;5288.67;5702.69
25.08;92.99;44.00;1.39;5702.69;5479.04
25.13;93.69;11.80;1.16;5479.04;5644.91
25.17;93.00;44.00;1.33;5644.91;6399.82
25.72;92.48;49.60;1.22;6399.82;5711.40
24.24;95.08;34.20;1.34;5711.40;5648.00
24.68;94.19;148.40;1.30;5648.00;5521.46
24.10;96.25;161.40;1.23;5521.46;5400.21
22.38;97.50;223.20;0.64;5400.21;5422.17
24.47;93.22;93.90;0.43;5422.17;5970.76
24.81;89.58;44.60;1.06;5970.76;5723.10
25.10;90.54;32.20;0.95;5723.10;5652.02
24.49;88.96;15.30;0.93;5652.02;5203.31
24.38;95.65;138.30;0.86;5203.31;4754.58
24.32;91.01;75.80;1.11;4754.58;5017.93
25.02;88.23;10.50;1.23;5017.93;5108.49
24.05;88.42;4.10;1.12;5108.49;5251.11
24.72;86.95;20.30;1.29;5251.11;5117.02
24.02;90.17;18.40;1.05;5117.02;4878.08
24.15;86.32;2.00;1.22;4878.08;5221.17
24.42;87.19;26.70;1.20;5221.17;4783.51
24.69;87.27;22.80;1.28;4783.51;4664.65
24.57;93.46;92.50;0.82;4664.65;5071.86
23.41;95.53;160.70;1.12;5071.86;4949.17
24.28;91.71;41.20;1.18;4949.17;5826.58
25.61;88.38;0.00;1.40;5826.58;5828.34
25.17;88.91;63.10;1.15;5828.34;5830.36
25.63;91.71;43.70;1.02;5830.36;5275.69
26.04;88.49;29.70;1.42;5275.69;5257.47
26.07;91.05;87.20;1.22;5257.47;5210.08
25.07;89.66;32.90;1.01;5210.08;5592.46
26.10;86.91;7.40;1.21;5592.46;5490.30
25.64;86.69;11.90;1.07;5490.30;5532.88
24.66;94.66;153.40;0.73;5532.88;5358.04
