Lugar;Algoritmo;RMSE;R2
28 Millas;ElasticNet regression;411.9053149;0.488259887
28 Millas;ElasticNet regression;411.9053149;0.488259887
28 Millas;ElasticNet regression;411.9053149;0.488259887
28 Millas;Linear regression;411.9083543;0.536539041
28 Millas;Linear regression;411.9083543;0.536539041
28 Millas;Linear regression;411.9083543;0.536539041
28 Millas;ElasticNet regression;411.9163694;0.471639674
28 Millas;Linear regression;411.9639218;0.501839596
28 Millas;Linear regression;411.9639218;0.501839596
28 Millas;Linear regression;411.966016;0.500248342
28 Millas;Linear regression;411.966016;0.500248342
28 Millas;Linear regression;411.966016;0.500248342
28 Millas;Linear regression;411.966016;0.500248342
28 Millas;ElasticNet regression;411.9743058;0.519506951
28 Millas;ElasticNet regression;411.9743058;0.519506951
28 Millas;ElasticNet regression;411.9743058;0.519506951
28 Millas;Ridge regression;411.9759372;0.474068836
28 Millas;Linear regression;411.9819283;0.474071245
28 Millas;Ridge regression;412.0015299;0.477410397
28 Millas;ElasticNet regression;412.0038339;0.488187177
28 Millas;ElasticNet regression;412.0038339;0.488187177
28 Millas;Linear regression;412.0075545;0.477409372
28 Millas;Ridge regression;412.0102637;0.500148361
28 Millas;Ridge regression;412.0102637;0.500148361
28 Millas;ElasticNet regression;412.0204105;0.459763823
28 Millas;ElasticNet regression;412.0249231;0.500769324
28 Millas;ElasticNet regression;412.0249231;0.500769324
28 Millas;ElasticNet regression;412.0249231;0.500769324
28 Millas;ElasticNet regression;412.0478489;0.462529849
28 Millas;ElasticNet regression;412.0488882;0.457393735
28 Millas;Ridge regression;412.0598768;0.51192642
28 Millas;Ridge regression;412.0598768;0.51192642
28 Millas;Ridge regression;412.0598768;0.51192642
