TAireMax;TAireMin;TempeAire;Humedad;MinHumed;MaxHumed;Rasolwm;Precipita;VelViMax;VelViento;Severidadhoja2;Severidadhoja3;Severidadhoja4;EstadoEvolucion
31.6;19.8;25.26;88.45;59;100;399;19;12.9;1.52;980;1420;1940;4492.21
31.2;21.3;25.28;93.06;63;100;228;30;14.5;1.9;1000;1960;2020;4976.98
32.8;21.8;26.02;92.95;64;100;168;36.8;12.9;1.24;880;1780;2160;4677.3
32.7;20;26.26;85.99;50;100;324;0.2;11.3;1.46;1180;1720;2240;5486.14
32.7;20.4;25.86;88.1;53;100;393;10;12.9;2.04;1000;1700;2180;5166.52
32.6;21.2;25.83;91.16;61;100;360;68.8;12.9;1.43;1000;2060;2200;5275.26
32.9;22.1;26.14;92.03;63;100;316;10.2;9.7;0.94;1120;2060;2340;6243.95
33.2;23.1;27.04;90.68;65;100;361;1;8;1.17;920;1480;2220;5501.93
33.1;22;25.86;91.93;61;100;318;65.6;6.4;0.74;1080;1780;2040;5499.93
32.7;22.3;26.46;90.84;63;100;344;58.2;9.7;1.02;1100;1940;2220;5865.33
32.6;21.1;26.13;90.04;59;100;324;8;9.7;0.85;1000;2040;2300;5783.5
33.3;21.8;26.58;90.01;61;100;255;5.6;9.7;0.34;1160;1840;2300;5660.04
32.7;21.1;25.87;92.82;62;100;283;19.2;14.5;0.64;1000;1920;2200;6012.92
32.2;23.1;25.93;94.14;67;100;264;81;14.5;0.67;960;1980;2320;5836.5
32.3;23.4;26.42;93.92;66;100;286;173.6;12.9;0.99;1040;1780;2260;5469.73
30;21.7;24.91;94.89;74;100;222;37;20.9;0.79;1400;2160;2340;5437.48
31.9;21.6;25.69;92.06;62;100;329;56.4;11.3;1.02;1500;2280;2340;5955.4
33.1;19.7;25.36;91.98;62;100;314;30.8;11.3;0.86;1440;2240;2400;6070.26
32.6;21.5;26.01;91.4;64;100;322;10.8;11.3;1.01;1400;2360;2360;6630.09
32.6;22.2;26.46;88.76;61;100;363;0.6;12.9;1.38;1160;2180;2400;6369.63
32.9;20.6;26.15;89.08;59;100;349;7.2;11.3;1.4;1340;2320;2400;5599.18
33.9;21.3;26.07;89.79;57;100;340;59;9.7;1.03;1380;2280;2380;5710.03
32.6;21.6;26.16;89.52;63;100;367;24.6;11.3;1.03;1160;2140;2380;5371.78
33.2;21.7;26.13;88.93;59;100;351;3.6;12.9;1.32;980;1760;2340;5438.94
32.8;21.6;25.37;92.88;63;100;278;31.8;11.3;1.06;1200;1740;2300;5556.73
32.3;22.2;26;91.17;64;100;334;6.4;11.3;1.07;1340;2040;2140;4894.52
32.4;18.9;26.14;89.33;60;100;373;8.8;9.7;1.21;1040;2060;2280;5375.15
31.9;21.4;25.6;92.7;64;100;293;107;9.7;0.99;1440;2300;2360;5701.9
;;;98.33;93;100;0;0;0;0;1480;2420;2400;5297.86
32.1;22.1;25.34;94.13;64;100;147;32.15;6.4;0.5;1220;2140;2360;4781.95
32.07;19.71;25.33;81.36;53.08;95.16;160;8.5;4.45;1.33;1500;2320;2400;5587.98
32.99;21.37;26.03;78.17;52.54;93.7;164;34.8;4.89;1.43;1560;2360;2380;5521.47
31.1;18.7;23.51;87.94;55.63;95.94;74;502;4.39;1.51;1260;2160;2380;5436.04
32.09;20.12;24.58;85.13;54.78;94.61;135;109.1;5.58;1.08;1600;2420;2400;4558.49
31.72;21.18;25.36;84.66;58.03;94.74;139;37.4;0.08;0;1700;2440;2400;4828.63
31.54;20.08;24.89;83.35;52.93;94.64;146;96;0.47;0.01;1420;2280;2360;5171.54
30.33;19.37;24.43;83.23;53.78;95.05;143;63.3;0.14;0;1620;2200;2340;5291.68
30.2;18.8;24.02;94.33;61;100;248;106;12.9;0.79;1680;2300;2360;5247.73
30.6;20.9;24.69;93.5;61;100;285;53.8;12.9;1.09;1840;2540;2400;4828.3
30.47;20.32;23.1;97.96;57.36;100;84;208.3;6.4;0.72;1860;2560;2400;5037.06
30.17;20.26;23.87;85.08;57.3;94.66;118;90.2;0;0;1960;2560;2400;5304.38
30.82;19.69;24.53;81.99;52.38;94.93;165;53;0;0;1600;2340;2400;5051.84
30.61;19.03;24.42;79.81;49.28;94.27;162;7.3;0;0;1460;2240;2360;5054.15
31.06;19.84;24.51;81.05;52.19;94.56;155;27.6;0;0;1300;2260;2280;4596.63
31.08;18.47;24.15;76.57;41.23;94.03;195;22.9;0;0;1320;2240;2300;5122.26
30.6;17.3;23.44;87.68;56;100;219;0.4;12.9;1.6;1100;2060;2300;4948.05
29.4;19.8;24.04;93.51;63;100;135;29.6;9.7;1.49;940;1760;2100;4813.47
29.8;18.6;24.39;91.19;63;100;147;25.8;8;1.34;1100;2040;2200;4721.53
30.8;17.6;24.05;88.6;50;100;198;1.6;11.3;1.64;840;1820;2240;4546.36
30.8;18.9;24.66;87.65;53;100;207;15.2;8;1.7;1120;1780;2300;4700.99
30.6;18.2;24.2;87.18;59;100;199;1.8;8;1.75;1140;1880;2280;4858.04
30.8;19.5;24.27;92.06;58;100;160;47.2;11.3;1.59;980;1880;2280;4916.28
30.3;18.7;24.23;90.72;63;100;175;6.4;9.7;1.48;1000;1980;2320;5020.49
31.1;18.4;24.93;87.15;59;100;233;1.6;8;1.68;760;1480;2260;4568
31.6;20.7;25.29;90.14;65;100;172;3.2;9.7;1.73;1280;1840;2280;4733.85
31.2;19.8;24.69;93.39;56;100;137;180.2;6.4;0.86;980;2140;2320;4939.42
30.4;20.5;25.3;92.97;67;100;205;61.4;8;1.15;860;1920;2300;5130.46
30.6;20.1;24.64;92.21;65;100;279;4;6.4;0.87;1080;1900;2360;4883.32
31.2;20.5;25.77;86.31;64;100;462;0.2;8;1.69;1020;2040;2100;5223.13
32;21.9;26.31;90.93;69;100;298;3.8;11.3;1.56;1000;2120;2160;5649.86
31.9;21.6;25.89;91.26;63;100;311;31;6.4;0.99;1260;2120;2380;5734.91
32.1;21.1;25.03;93.87;62;100;247;41;6.4;0.76;1260;1960;2240;5621.07
31.7;21.7;26.15;91.43;67;100;274;43.8;9.7;1.27;1020;2160;2380;5817.29
31.4;21.9;25.82;93.28;67;100;171;111.8;8;1.19;1500;2340;2400;5745.05
32.2;22.8;26.33;91.06;62;100;190;6;8;0.98;1220;2200;2360;5865.25
30.9;21.8;24.8;97.18;71;100;81;29.4;4.8;0.41;1380;2120;2380;5994
31.1;22.3;25.56;94.25;70;100;273;57;6.4;1;1300;2280;2340;5879.93
31.2;21.6;25.46;91.93;62;100;313;37.6;8;1.32;1400;2300;2360;6022.96
30.3;22.4;25.35;93.61;72;100;281;42.8;6.4;1.18;1620;2400;2400;6022.12
31.6;21.6;25.18;94.71;71;100;253;174.8;9.7;1.14;1720;2480;2380;5989.3
31.6;21.6;25.29;93.37;65;100;297;84.4;8;1.23;1800;2420;2400;5983.31
31.4;22.2;25;96.25;70;100;195;188.4;4.8;0.58;1740;2440;2380;5576.25
32.2;21.6;25.96;90.72;61;100;394;67.2;8;1.34;1580;2280;2400;5782.47
31.4;21.8;25.41;93.63;68;100;291;61.6;8;0.89;1380;2280;2380;5348.69
32.3;21.5;25.86;91.15;64;100;355;15.4;9.7;1.2;1440;2400;2380;5440.26
33.3;21.9;26.18;91.83;58;100;341;78;8;1.44;1480;2380;2400;5670.47
33.3;22.1;26.85;88.78;58;100;392;0;8;1.34;1100;1960;2380;5485.92
;;;;;;;;;;1300;2160;2340;5652.18
;;;;;;;;;;1420;2260;2340;5160.87
;;;;;;;;;;1220;2220;2360;5044.3
31.9;22.3;26.15;91.18;63;100;321;31.6;6.4;1.34;1220;1880;2280;5106.19
32.4;22.2;25.76;93.85;63;100;265;31.6;4.8;1.04;1080;2080;2260;5329.54
32.1;22.7;26.49;92.13;67;100;303;7.6;6.4;1.16;1500;2200;2300;5040.77
31.6;22;25.24;94.38;70;100;225;60.4;4.8;1.25;1000;2160;2300;5022.63
31.7;21.8;25.56;90.6;59;100;280;24.2;8;1.96;1360;2300;2380;5478.15
31.4;21.1;24.78;94.25;59;100;236;64.2;6.4;1.42;1000;2260;2380;4666.97
28.3;19.8;23.02;95.91;71;100;110;308.4;8;2.99;1200;2040;2360;4708.13
29.7;21.3;23.95;98.59;75;100;136;214.4;6.4;1.89;1620;2300;2360;4305.23
30.6;20.9;23.97;96.75;68;100;147;184.8;6.4;1.09;1720;2300;2380;4107.2
30.2;20.9;24.65;95.25;69;100;207;74.6;8;1.63;1600;2300;2380;4518.59
30.3;20.2;24.36;91.21;57;100;293;16.6;9.7;1.5;2080;2400;2400;4334.14
